Aderyn =c(1, 0, 1, 0, 0, 0, 0, 7, 0, "Lord", 70, 45, 60, 60, 30, 30, 60),
Donovan =c(1, 7, 7, 6, 0, 5, 0, 5, 3, "G. Paladin", 90, 35, 40, 30, 20, 20, 25),
Melinda =c(1, 5, 1, 3, 3, 1, 1, 6, 1, "Pegasus Kn.", 65, 40, 50, 60, 25, 40, 50),
Leon =c(3, 4, 3, 1, 2, 3, 1, 4, 1, "Mercenary", 80, 45, 50, 55, 35, 20, 40),
Jake =c(3, 2, 3, 2, 2, 2, 0, 6, 1, "Cavalier", 75, 55, 50, 45, 35, 25, 60),
Teddy =c(3, 5, 3, 4, 4, 5, 0, 5, 1, "Fighter", 85, 55, 40, 45, 30, 15, 45),
Penny =c(3, 1, 1, 2, 2, 0, 2, 8, 1, "Troubadour", 60, 35, 25, 60, 15, 45, 70),
Damian =c(3, 2, 2, 2, 2, 2, 2, 6, 3, "Mage", 85, 50, 50, 60, 30, 30, 45),
Kara =c(3, 4, 3, 5, 7, 4, 2, 6, 1, "Shaman", 75, 50, 45, 50, 25, 50, 40),
George =c(1, 2, 1, 1, 3, -2, 1, 5, 2, "Villager", 95, 55, 55, 60, 35, 25, 40),
Dan =c(10, 10, 7, 6, 7, 3, 2, 8, 0, "Barbarian", 85, 60, 35, 60, 20, 15, 35),
Derrick =c(4, 6, 3, 1, 1, 2, 2, 11, 2, "Archer", 70, 60, 45, 45, 25, 20, 75),
Nathaniel =c(5, 7, 4, 3, 5, 4, 2, 6, 1, "Myrmidon", 75, 45, 60, 65, 30, 20, 35),
Charles =c(10, 9, 6, 6, 7, 4, 8, 10, 1, "Acolyte", 60, 45, 45, 60, 15, 60, 45),
Travis =c(1, 2, 0, 0, 1, -1, 0, 5, 0, "Lord", 85, 40, 50, 45, 30, 25, 40),
Stephen =c(5, 6, 3, 5, 4, 2, 4, 6, 0, "Soldier", 85, 60, 65, 55, 30, 30, 40),
Ella =c(5, 5, 4, 4, 2, 1, 2, 8, 0, "Mage", 55, 70, 35, 40, 15, 50, 65),
Krystal =c(1, 5, 1, 3, 6, 2, 5, 8, 1, "Dancer", 50, 15, 25, 70, 15, 55, 50),
Rodrick =c(5, 7, 4, 3, 6, 2, 3, 4, 0, "Knight", 90, 50, 45, 35, 55, 25, 30),
Misha =c(5, 4, 4, 7, 6, 3, 6, 8, 0, "Thief", 65, 35, 60, 75, 25, 40, 60),
Tabitha =c(11, 7, 5, 4, 7, 1, 7, 10, 1, "Archer", 60, 40, 55, 70, 15, 45, 50),
Isaiah =c(13, 10, 8, 8, 6, 7, 9, 3, 2, "Shaman", 80, 60, 70, 40, 40, 50, 20),
Carmen =c(4, 7, 7, 10, 8, 3, 6, 14, 1, "Valkyrie", 55, 35, 45, 50, 25, 45, 60),
Ivan =c(15, 14, 10, 11, 7, 5, 4, 9, 0, "Pirate", 90, 60, 45, 45, 25, 15, 55),
Trisha =c(11, 10, 8, 5, 5, 6, 8, 9, 2, "Myrmidon", 70, 55, 70, 65, 20, 40, 40),
Nestor =c(12, 9, 8, 5, 5, 4, 3, 9, 1, "Wyvern Rider", 90, 60, 35, 40, 55, 10, 45),
Luigi =c(1, -4, 9, -8, -2, -2, -3, 0, 0, "Sorcerer", 25, 100, 0, 10, 10, 10, 10),
Levi =c(1, 12, 8, 13, 9, 6, 8, 8, 1, "Rogue", 70, 20, 30, 70, 25, 25, 35),
Phineas =c(7, 17, 11, 10, 10, 5, 16, 10, 1, "Paladin", 70, 40, 50, 50, 25, 40, 30),
Valentyn =c(10, 20, 14, 13, 13, 12, 11, 8, 1, "General", 75, 50, 40, 25, 50, 30, 30),
Ervin =c(7, 14, 12, 13, 12, 11, 7, 9, 2, "Warrior", 80, 40, 30, 30, 20, 20, 20),
Lucas =c(5, 5, 3, 4, 4, 1, 3, 7, 0, "Cavalier", 80, 45, 55, 60, 30, 20, 50),
Tara =c(8, 11, 11, 13, 13, 9, 12, 15, 2, "Falcoknight", 70, 35, 45, 55, 20, 50, 30),
Nissa =c(10, 11, 7, 5, 6, 6, 4, 8, 2, "Pegasus Kn.", 70, 55, 50, 50, 30, 30, 45),
Caterina =c(6, -17, -2, -1, 6, -2, 8, 8, 0, "Acolyte", 60, 55, 55, 75, 10, 65, 70),
Richter =c(5, 16, 9, 6, 8, 7, 12, 5, 0, "Malig Knight", 70, 50, 30, 40, 30, 30, 15),
Helga =c(13, 25, 12, 10, 9, 6, 11, 3, 1, "Malig Knight", 80, 40, 55, 50, 20, 20, 15),
Nia =c(1, 14, 7, 12, 10, 3, 8, 16, 0, "Witch", 65, 45, 40, 50, 10, 45, 50),
Hope =c(14, 22, 13, 16, 14, 12, 13, 17, 0, "Wyvern Lord", 85, 50, 45, 45, 30, 20, 20),
Clint =c(9, 19, 12, 12, 13, 11, 8, 13, 2, "Spartan", 80, 45, 40, 35, 40, 25, 35),
Hermit =c(18, 32, 21, 18, 18, 16, 18, 23, 2, "Sorcerer", 100, 0, 0, 50, 50, 50, 100),
Nefats =c(1, 16, 10, 8, , 6, 9, 15, 1, "Swordmaster", 70, 40, 45, 45, 25, 25, 40),
Theodora =c(8, 14, 9, 14, 14, 6, 9, 10, 0, "Sage", 40, 35, 45, 45, 5, 35, 40),
Trevor =c(5, 13, 11, 9, 8, 5, 6, 11, 0, "Hero", 70, 45, 45, 50, 30, 20, 35),
Magnus =c(11, 23, 14, 11, 15, 12, 16, 13, 0, "Halberdier", 80, 45, 45, 40, 20, 20, 40),
Simon =c(16, 19, 15, 15, 13, 14, 15, 15, 1, "Great Knight", 120, 65, 60, 35, 70, 35, 50),
Liss =c(7, 9, 5, 5, 7, 5, 0, 7, -1, "Fighter", 80, 45, 45, 50, 25, 25, 35),
Ganymede =c(1, 10, 5, 2, 3, 7, 2, 10, 0, "Ballistician", 80, 50, 40, 15, 40, 10, 40),
Ricardo =c(18, 27, 18, 18, 15, 18, 12, 10, 1, "Wyvern Lord", 85, 40, 45, 40, 30, 10, 30),
Tyler =c(5, 3, 8, 2, 5, 1, 3, 5, 2, "Priest", 60, 60, 15, 45, 25, 70, 60),
Hestia =c(13, 18, 12, 14, 14, 10, 10, 10, 1, "Sniper", 60, 30, 40, 40, 25, 25, 20)



Lord =c(17, 5, 8, 9, 2, 6, 6, 5, 60, 20, 20, 20, 20, 20, 20, 0, 0, 0, 0, 0, 0, 0),
Great Lord =c(18, 3, 3, 4, 5, 0, 7, 7, 60, 25, 29, 30, 24, 28, 25, 4, 2, 2, 2, 5, 4, 3),
Cavalier =c(20, 5, 5, 5, 6, 0, 9, 7, 60, 20, 20, 20, 20, 20, 25, 0, 0, 0, 0, 0, 0, 3),
Paladin =c(28, 7, 7, 7, 8, 3, 11, 8, 60, 25, 26, 24, 25, 25, 25, 2, 1, , 1, 2, 1, 3),
G. Paladin =c(23, 6, 6, 11, 7, 6, 9, 8, 60, 28, 27, 25, 27, 24, 25, 1, 1, 1, 2, 1, 2, 3),
Knight =c(21, 7, 5, 0, 10, 0, 13, 5, 60, 20, 20, 20, 20, 20, 20, 0, 0, 0, 0, 0, 0, 0),
Dark Knight =c(22, 9, 6, 4, 8, 7, 10, 8, 60, 28, 26, 24, 27, 26, 20, 3, 3, 2, 1, 4, 2, 3),
General =c(32, 8, 7, 3, 13, 3, 3, 6, 60, 29, 27, 24, 30, 25, 25, 4, 2, 2, 3, 2, 3, 0),
Fighter =c(20, 6, 5, 5, 1, 4, 11, 5, 60, 20, 20, 20, 20, 20, 25, 3, 2, 3, 2, 3, 3, 0),
Thief =c(16, 3, 1, 9, 2, 0, 6, 6, 60, 20, 20, 20, 20, 20, 20, 0, 0, 0, 0, 0, 0, C),
Mercenary =c(18, 5, 8, 8, 4, 0, 9, 5, 60, 20, 20, 20, 20, 20, 20, 0, 0, 0, 0, 0, 0, 0),
Halberdier =c(27, 8, 9, 7, 8, 2, 10, 6, 60, 27, 27, 26, 27, 23, 25, 3, 2, 3, 2, 2, 3, 0),
Hero =c(29, 6, 11, 10, 8, 2, 11, 6, 60, 26, 30, 27, 25, 22, 25, 4, 1, 2, 2, 2, 2, 0),
Myrmidon =c(16, 4, 9, 9, 2, 0, 8, 5, 60, 20, 20, 20, 20, 20, 20, 0, 0, 0, 0, 0, 0, 0),
Myrmidon =c(15, 3, 9, 10, 1, 1, 5, 5, 60, 20, 20, 20, 20, 20, 20, 0, 0, 0, 0, 0, 0, 0),
Swordmaster =c(25, 6, 11, 10, 5, 2, 9, 6, 60, 26, 29, 30, 22, 25, 20, 5, 2, 2, 3, 2, 1, 40),
Swordmaster =c(19, 6, 11, 12, 4, 3, 7, 6, 60, 26, 29, 30, 22, 25, 20, 4, 2, 1, 0, 2, 1, 40),
Assassin =c(16, 6, 12, 13, 2, 0, 8, 6, 60, 23, 30, 30, 20, 20, 20, 3, 1, 4, 3, 2, 2, 8),
Assassin =c(16, 3, 1, 9, 2, 0, 6, 6, 60, 20, 30, 30, 20, 20, 20, 2, 1, 1, 1, 2, 1, 8),
Archer =c(18, 6, 7, 6, 3, 0, 7, 5, 60, 20, 20, 20, 20, 20, 20, 0, 0, 0, 0, 0, 0, 80),
Archer =c(18, 5, 6, 8, 3, 4, 5, 5, 60, 20, 20, 20, 20, 20, 20, 0, 0, 0, 0, 0, 0, 80),
Sniper =c(25, 9, 11, 9, 5, 2, 8, 6, 60, 25, 30, 28, 25, 23, 20, 3, 1, 2, 2, 2, 3, 80),
Sniper =c(22, 8, 10, 11, 4, 6, 7, 6, 60, 24, 30, 29, 24, 24, 20, 4, 3, 1, 1, 2, 2, 80),
Ranger =c(25, 7, 8, 7, 6, 3, 9, 7, 60, 25, 28, 30, 24, 23, 25, 3, 2, 1, 1, 3, 3, 3),
Ranger =c(23, 6, 9, 9, 4, 5, 8, 7, 60, 23, 28, 30, 22, 25, 25, 2, 2, 2, 1, 3, 3, 3),
Wyvern Rider =c(20, 7, 3, 5, 8, 0, 10, 7, 60, 20, 20, 20, 20, 20, 25, 0, 0, 0, 0, 0, 0, 3),
Spartan =c(29, 8, 8, 6, 9, 3, 9, 6, 60, 27, 27, 25, 28, 24, 25, 4, 3, 2, 1, 3, 1, 0),
Wyvern Lord =c(30, 9, 5, 7, 10, 1, 11, 8, 60, 28, 27, 25, 28, 22, 25, 4, 2, 2, 2, 2, 0, 3),
Thief =c(16, 3, 1, 9, 2, 0, 6, 6, 60, 20, 20, 20, 20, 20, 20, 0, 0, 0, 0, 0, 0, C),
Malig Knight =c(28, 7, 7, 8, 7, 1, 10, 8, 60, 25, 26, 25, 24, 22, 25, 3, 1, 2, 1, 2, 4, 3),
Harrier =c(19, 6, 8, 9, 4, 6, 8, 8, 60, 23, 25, 27, 21, 25, 25, 3, 1, 1, 2, 1, 1, 3),
Mage =c(16, 5, 5, 6, 2, 4, 6, 5, 60, 20, 20, 20, 20, 20, 20, 1, 0, 1, 2, 1, 2, 0),
Mage =c(16, 6, 4, 5, 1, 6, 5, 5, 60, 20, 20, 20, 20, 20, 20, 0, 0, 0, 0, 0, 0, 0),
Sage =c(25, 8, 8, 7, 5, 5, 7, 6, 60, 28, 30, 26, 21, 25, 20, 4, 3, 2, 2, 2, 3, 0),
Sage =c(21, 10, 6, 6, 3, 9, 7, 6, 60, 30, 28, 26, 21, 25, 20, 3, 4, 2, 2, 1, 3, 0),
Mage Knight =c(24, 7, 7, 9, 6, 7, 8, 8, 60, 24, 26, 26, 24, 25, 25, 4, 2, 2, 3, 2, 2, 3),
Mage Knight =c(19, 3, 5, 6, 3, 6, 6, 8, 60, 25, 24, 25, 24, 28, 25, 3, 3, 2, 2, 2, 2, 3),
Bishop =c(24, 7, 7, 7, 3, 10, 7, 6, 60, 25, 28, 28, 22, 30, 20, 3, 2, 1, 2, 1, 4, 0),
Bishop =c(19, 4, 5, 4, 2, 9, 9, 6, 60, 24, 27, 30, 21, 30, 20, 3, 1, 2, 1, 2, 2, 0),
Shaman =c(20, 6, 5, 4, 5, 5, 7, 5, 60, 20, 20, 20, 20, 20, 20, 1, 2, 0, 1, 1, 2, 0),
Shaman =c(15, 3, 1, 1, 1, 5, 5, 5, 60, 20, 20, 20, 20, 20, 20, 0, 0, 0, 0, 0, 0, 0),
Sorcerer =c(26, 9, 8, 6, 6, 7, 8, 6, 60, 30, 26, 26, 24, 28, 20, 4, 3, 2, 2, 3, 2, 0),
